company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,icp_segments,source
GoodRx,https://www.linkedin.com/company/goodrx,goodrx.com,Hospitals and Health Care,Public Company,501-1000,1068,2011,Santa Monica,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
LogixHealth,https://www.linkedin.com/company/logixhealth,logixhealth.com,Hospitals and Health Care,Privately Held,501-1000,1957,-,Bedford,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
ShiftMed,https://www.linkedin.com/company/shiftmed,shiftmed.com,Hospitals and Health Care,Privately Held,201-500,1448,-,McLean,Virginia,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Aidoc,https://www.linkedin.com/company/aidoc,aidoc.com,Hospitals and Health Care,Privately Held,201-500,628,2016,New York,New York,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Signify Health,https://www.linkedin.com/company/signifyhealth,signifyhealth.com,Hospitals and Health Care,Public Company,1001-5000,3924,-,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Clover Health,https://www.linkedin.com/company/cloverhealth,cloverhealth.com,Hospitals and Health Care,Public Company,501-1000,761,2014,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
Cloudphysician,https://www.linkedin.com/company/cloudphysicianindia,cloudphysician.net,Hospitals and Health Care,Privately Held,201-500,277,2017,San Francisco,California,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ECLAT Health Solutions Inc,https://www.linkedin.com/company/eclat-health-solutions,eclathealth.com,Hospitals and Health Care,Privately Held,1001-5000,1657,2008,Herndon,Virginia,US,Sensor Bio - Clinical & Health Systems,Blitz API
HCTec,https://www.linkedin.com/company/hctec-partners,hctec.com,Hospitals and Health Care,Privately Held,501-1000,573,2010,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
Get Well,https://www.linkedin.com/company/getwellnetwork,getwellnetwork.com,Hospitals and Health Care,Privately Held,201-500,417,2000,Bethesda,Maryland,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ClearChoice Dental Implant Centers,https://www.linkedin.com/company/clearchoice-dental-implant-centers,clearchoice.com,Hospitals and Health Care,Privately Held,1001-5000,1329,2004,Greenwood Village,Colorado,US,Sensor Bio - Clinical & Health Systems,Blitz API
Honest Health,https://www.linkedin.com/company/we-are-honest-health,honestmedicalgroup.com,Hospitals and Health Care,Privately Held,201-500,210,-,Nashville,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Claritev,https://www.linkedin.com/company/claritev,claritev.com,Hospitals and Health Care,Public Company,1001-5000,2693,-,Mclean,Virginia,US,Sensor Bio - Clinical & Health Systems,Blitz API
EnableComp,https://www.linkedin.com/company/enablecomp,enablecomp.com,Hospitals and Health Care,Privately Held,1001-5000,538,2000,Franklin,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
