company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,icp_segments,source
Brooks Rehabilitation,https://www.linkedin.com/company/brooks-rehabilitation,brooksrehab.org,Hospitals and Health Care,Nonprofit,1001-5000,1861,1970,Jacksonville,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Kyruus Health,https://www.linkedin.com/company/kyruushealth,kyruushealth.com,Hospitals and Health Care,Privately Held,201-500,263,2010,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
Unify Healthcare Services,https://www.linkedin.com/company/unify-healthcare-services,unifyrcm.com,Hospitals and Health Care,Privately Held,1001-5000,704,2016,Cuyahoga Falls,Ohio,US,Sensor Bio - Clinical & Health Systems,Blitz API
San Francisco Health Plan,https://www.linkedin.com/company/san-francisco-health-plan,sfhp.org,Hospitals and Health Care,Nonprofit,201-500,421,1997,San Francisco,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
GetixHealth,https://www.linkedin.com/company/getixhealth,getixhealth.com,Hospitals and Health Care,Privately Held,1001-5000,1176,2012,Sugar Land,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Holy Cross Health,https://www.linkedin.com/company/holy-cross-health,holycrosshealth.org,Hospitals and Health Care,Nonprofit,1001-5000,3015,1963,Silver Spring,Maryland,US,Sensor Bio - Clinical & Health Systems,Blitz API
Onvida Health,https://www.linkedin.com/company/onvidahealth,onvidahealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1862,1958,Yuma,Arizona,US,Sensor Bio - Clinical & Health Systems,Blitz API
Bayhealth,https://www.linkedin.com/company/bayhealth-medical-center,bayhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2656,-,Dover,Delaware,US,Sensor Bio - Clinical & Health Systems,Blitz API
Genova Diagnostics,https://www.linkedin.com/company/genova-diagnostics-inc-,gdx.net,Hospitals and Health Care,Privately Held,201-500,339,1987,Asheville,North Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
+MEDRITE Urgent Care,https://www.linkedin.com/company/medriteurgentcare,medriteurgentcare.com,Hospitals and Health Care,Privately Held,1001-5000,665,2010,New York,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Krames (Now WebMD Ignite),https://www.linkedin.com/company/krames,webmdignite.com,Hospitals and Health Care,Privately Held,201-500,29,1978,Newark,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
Summit BHC,https://www.linkedin.com/company/summit-behavioral-healthcare,summitbhc.com,Hospitals and Health Care,Privately Held,1001-5000,2746,-,Franklin,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
PerfectServe,https://www.linkedin.com/company/perfectserve,perfectserve.com,Hospitals and Health Care,Privately Held,201-500,339,1997,Miami,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Riverside Healthcare,https://www.linkedin.com/company/riversidemc,riversidehealthcare.org,Hospitals and Health Care,Nonprofit,1001-5000,1547,1964,Kankakee,Illinois,US,Sensor Bio - Clinical & Health Systems,Blitz API
Eisenhower Health,https://www.linkedin.com/company/eisenhower-medical-center,eisenhowerhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2978,1966,Rancho Mirage,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
PACS,https://www.linkedin.com/company/pacsutah,pacs.com,Hospitals and Health Care,Public Company,501-1000,1972,2013,Salt Lake City,Utah,US,Sensor Bio - Clinical & Health Systems,Blitz API
MarinHealth,https://www.linkedin.com/company/marinhealth,mymarinhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1810,1952,Greenbrae,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
The Craneware Group,https://www.linkedin.com/company/thecranewaregroup,thecranewaregroup.com,Hospitals and Health Care,Public Company,501-1000,777,-,Deerfield Beach,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Medical Services of America,https://www.linkedin.com/company/msahealthcare,msahealthcare.com,Hospitals and Health Care,Privately Held,1001-5000,961,1973,Lexington,South Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
Arine,https://www.linkedin.com/company/arinehealth,arine.io,Hospitals and Health Care,Privately Held,201-500,371,-,San Francisco,California,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Guardian Pharmacy,https://www.linkedin.com/company/guardian-pharmacy,guardianpharmacy.com,Hospitals and Health Care,Privately Held,1001-5000,1555,2004,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems,Blitz API
AndHealth,https://www.linkedin.com/company/and-health,andhealth.com,Hospitals and Health Care,Privately Held,201-500,223,2021,Columbus,Ohio,US,Sensor Bio - Clinical & Health Systems,Blitz API
Health Alliance Plan,https://www.linkedin.com/company/health-alliance-plan,hap.org,Hospitals and Health Care,Nonprofit,501-1000,1054,1960,Detroit,Michigan,US,Sensor Bio - Clinical & Health Systems,Blitz API
Monte Nido,https://www.linkedin.com/company/monte-nido,montenidoaffiliates.com,Hospitals and Health Care,Privately Held,1001-5000,993,1996,Miami,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Parachute Health,https://www.linkedin.com/company/parachute-health,parachutehealth.com,Hospitals and Health Care,Privately Held,201-500,339,2015,New York,New York,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
INSPIRA MEDICAL CENTER ELMER,https://www.linkedin.com/company/inspira-medical-center-elmer,-,Hospitals and Health Care,-,201-500,12,-,Elmer,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
Barksdale Home Care Services,https://www.linkedin.com/company/barksdale-home-care-services,barksdalehc.com,Hospitals and Health Care,Privately Held,201-500,12,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
ASAP Home Health Services,https://www.linkedin.com/company/asapservices,asapservicesdc.com,Hospitals and Health Care,Privately Held,201-500,12,2003,WASHINGTON,District of Columbia,US,Sensor Bio - Clinical & Health Systems,Blitz API
COATESVILLE VETERANS AFFAIRS MEDICAL CENTER,https://www.linkedin.com/company/coatesville-veterans-affairs-medical-center,va.gov,Hospitals and Health Care,-,501-1000,11,-,Coatesville,Pennsylvania,US,Sensor Bio - Clinical & Health Systems,Blitz API
Tehran Resalat Beauty and Nutrition Clinic,https://www.linkedin.com/company/tehran-resalat-beauty-and-nutrition-clinic,-,Hospitals and Health Care,Privately Held,201-500,11,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
LEGACY AT WILLOW BEND RETIREMENT COMMUNITY INC,https://www.linkedin.com/company/legacy-at-willow-bend-retirement-community-inc,thelegacywb.org,Hospitals and Health Care,-,201-500,11,2005,Plano,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Kimberly Quality Care,https://www.linkedin.com/company/kimberly-quality-care,-,Hospitals and Health Care,-,201-500,11,-,Newport News,Virginia,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Family Care Services, Inc",https://www.linkedin.com/company/family-care-services-inc,familycareservicesmn.com,Hospitals and Health Care,Privately Held,201-500,11,2002,Minneapolis,Minnesota,US,Sensor Bio - Clinical & Health Systems,Blitz API
"MARINER HEALTH CENTRAL, INC",https://www.linkedin.com/company/mariner-health-central-inc,-,Hospitals and Health Care,-,1001-5000,10,2001,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Central Regional Health Center,https://www.linkedin.com/company/central-regional-health-center,-,Hospitals and Health Care,-,201-500,10,-,Tulsa,Oklahoma,US,Sensor Bio - Clinical & Health Systems,Blitz API
Bệnh Viện Sante,https://www.linkedin.com/company/b%e1%bb%87nh-vi%e1%bb%87n-sante,bvsante.com,Hospitals and Health Care,Sole Proprietorship,201-500,10,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Yedikule Chest Diseases and Thoracic Surgery Training and Research Hospital,https://www.linkedin.com/company/yedikule-chest-disease-and-thoracic-surgery-training-and-research-hospital,-,Hospitals and Health Care,Government Agency,501-1000,10,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
METROWEST MEDICAL CENTER - FRAMINGHAM CAMPUS,https://www.linkedin.com/company/metrowest-medical-center---framingham-campus,-,Hospitals and Health Care,-,501-1000,9,-,Framingham,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
Carolinas Home Medical,https://www.linkedin.com/company/carolinas-home-medical,carolinahomemedical.com,Hospitals and Health Care,-,201-500,8,-,Gastonia,North Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
"THE ARC OF ULSTER-GREENE NYSARC, INC",https://www.linkedin.com/company/the-arc-of-ulster-greene-nysarc-inc,ugarc.org,Hospitals and Health Care,-,501-1000,8,-,Kingston,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
MERAKEY PHILADELPHIA,https://www.linkedin.com/company/merakey-philadelphia,-,Hospitals and Health Care,-,501-1000,8,-,Lafayette Hill,Pennsylvania,US,Sensor Bio - Clinical & Health Systems,Blitz API
CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,https://www.linkedin.com/company/centura-health-st-mary-corwin-medical-center,centura.org,Hospitals and Health Care,-,501-1000,8,-,Pueblo,Colorado,US,Sensor Bio - Clinical & Health Systems,Blitz API
Alterra Healthcare,https://www.linkedin.com/company/alterra-healthcare,assistedliving.com,Hospitals and Health Care,-,201-500,8,-,Chapel Hill,North Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
"TRAYLOR PORTER HEALTH CARE MANAGEMENT, INC",https://www.linkedin.com/company/traylor-porter-health-care-management-inc,-,Hospitals and Health Care,-,201-500,7,-,Auburn,Alabama,US,Sensor Bio - Clinical & Health Systems,Blitz API
BAPTIST MEMORIAL HOSPITAL BOONEVILLE INC,https://www.linkedin.com/company/baptist-memorial-hospital-booneville-inc,-,Hospitals and Health Care,-,201-500,7,-,Booneville,Mississippi,US,Sensor Bio - Clinical & Health Systems,Blitz API
Avante group inc.,https://www.linkedin.com/company/avante-group-inc,avantecenters.com,Hospitals and Health Care,Privately Held,1001-5000,7,1989,Hollywood,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Maxxim Medical Inc.,https://www.linkedin.com/company/maxxim-medical-inc-,-,Hospitals and Health Care,-,201-500,6,-,Hillside,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
WHITE RIVER JUNCTION VETERANS AFFAIRS MEDICAL CENTER,https://www.linkedin.com/company/white-river-junction-veterans-affairs-medical-center,-,Hospitals and Health Care,-,201-500,6,-,White River Junction,Vermont,US,Sensor Bio - Clinical & Health Systems,Blitz API
KAISER FND HOSP - SAN JOSE,https://www.linkedin.com/company/kaiser-fnd-hosp---san-jose,-,Hospitals and Health Care,-,501-1000,6,-,San Jose,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Pre-Medical Advising Club,https://www.linkedin.com/company/pre-medical-advising-club,linkedin.com,Hospitals and Health Care,Public Company,201-500,6,2025,San Diego,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Society for Women In Radiation Oncology (SWRO),https://www.linkedin.com/company/society-for-women-in-radiation-oncology-swro,societywomenradiationoncology.com,Hospitals and Health Care,Nonprofit,201-500,2,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Ohsu Dental Continuing Education,https://www.linkedin.com/company/ohsu-dental-continuing-education,ohsu.edu,Hospitals and Health Care,Public Company,1001-5000,1,-,Portland,Oregon,US,Sensor Bio - Clinical & Health Systems,Blitz API
Mission Rural Partners,https://www.linkedin.com/company/mission-rural-partners,yourhospitalourmission.com,Hospitals and Health Care,Partnership,201-500,-,2022,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
San Juan Hospital,https://www.linkedin.com/company/san-juan-hospital,-,Hospitals and Health Care,-,201-500,195,-,Monticello,Utah,US,Sensor Bio - Clinical & Health Systems,Blitz API
EAMC-LANIER,https://www.linkedin.com/company/eamc-lanier,-,Hospitals and Health Care,-,201-500,88,-,Valley,Alabama,US,Sensor Bio - Clinical & Health Systems,Blitz API
Joseph Mercy,https://www.linkedin.com/company/joseph-mercy,stjoeshealth.org,Hospitals and Health Care,-,201-500,55,-,Superior,Michigan,US,Sensor Bio - Clinical & Health Systems,Blitz API
The Good Samaritan Home of Quincy,https://www.linkedin.com/company/the-good-samaritan-home-of-quincy,gshq.org,Hospitals and Health Care,Nonprofit,201-500,48,1957,Quincy,Illinois,US,Sensor Bio - Clinical & Health Systems,Blitz API
MaxWell Hospital,https://www.linkedin.com/company/maxwell-hospital1,facebook.com,Hospitals and Health Care,Public Company,201-500,31,2020,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Bethel Homes and Services,https://www.linkedin.com/company/bethel-homes-and-services,bethelwell.org,Hospitals and Health Care,Nonprofit,501-1000,28,1911,Ossining,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Parkwest Surgery Center Llc,https://www.linkedin.com/company/parkwest-surgery-center-llc,-,Hospitals and Health Care,-,201-500,28,-,Knoxville,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Hospital San Agustín Zac, Mx",https://www.linkedin.com/company/hospital-san-agust%c3%adn-zac-mx,hospitalsanagustin.com.mx,Hospitals,Self-Employed,201-500,26,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
MEDFONE,https://www.linkedin.com/company/medfone,medfone.com,Hospitals and Health Care,Privately Held,201-500,20,1979,Wantagh,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Gateway Adult Residential Care,https://www.linkedin.com/company/gateway-adult-residential-care,gatewaygardenseugene.com,Hospitals and Health Care,Sole Proprietorship,201-500,19,1991,Eugene,Oregon,US,Sensor Bio - Clinical & Health Systems,Blitz API
Marienhospital Papenburg-Aschendorf,https://www.linkedin.com/company/marienhospital-papenburg-aschendorf,marien-hospital-papenburg.de,Hospitals and Health Care,Public Company,201-500,15,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Advantage Health Systems, Inc.",https://www.linkedin.com/company/advantage-health-systems-inc.,thelivingadvantage.com,Hospitals and Health Care,Privately Held,1001-5000,15,1993,Easley,South Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
Premier Valley Medical Group,https://www.linkedin.com/company/premier-valley-medical-group1,premiermedicalgp.com,Hospitals and Health Care,Privately Held,201-500,15,2019,Bakersfield,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Mercy Health Services Corp,https://www.linkedin.com/company/mercy-health-services-corp,mercyhealthsystem.org,Hospitals and Health Care,-,201-500,14,-,Janesville,Wisconsin,US,Sensor Bio - Clinical & Health Systems,Blitz API
Starr County Memorial Hospital,https://www.linkedin.com/company/starr-county-memorial-hospital-1975,starrcountyhospital.com,Hospitals and Health Care,Nonprofit,201-500,12,1975,Rio Grande City,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Tiba Hospital Mansoura,https://www.linkedin.com/company/tiba-hospital-mansoura,tibahospitals.com,Hospitals and Health Care,Partnership,201-500,12,2006,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Family Choice Health Care Group, LLC",https://www.linkedin.com/company/family-choice-health-care-group-llc,familychoicesupport.com,Hospitals and Health Care,Public Company,201-500,8,-,Tucson,Arizona,US,Sensor Bio - Clinical & Health Systems,Blitz API
Regional Public Hospital Sunan Kalijaga Demak,https://www.linkedin.com/company/regional-public-hospital-sunan-kalijaga-demak,blogspot.co.id,Hospitals and Health Care,Government Agency,201-500,6,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
JHUNJHUNWALA HOSPITAL AYODHYA,https://www.linkedin.com/company/jhunjhunwala-hospital-ayodhya,jhunjhunwalahospitalayodhya.com,Hospitals and Health Care,Privately Held,201-500,6,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
深圳市第五人民医院,https://www.linkedin.com/company/%e6%b7%b1%e5%9c%b3%e5%b8%82%e7%ac%ac%e4%ba%94%e4%ba%ba%e6%b0%91%e5%8c%bb%e9%99%a2,szlhyy.com.cn,Hospitals and Health Care,Privately Held,501-1000,6,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Athletes in Medicine at Stanford,https://www.linkedin.com/company/athletes-in-medicine-stanford,athletesinmedicineatstanford.com,Hospitals and Health Care,Public Company,201-500,5,2020,Stanford,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
St. Joseph Medical Center (HSA),https://www.linkedin.com/company/saint-joseph-medical-center-hsa,sjmctx.org,Hospitals and Health Care,Privately Held,1001-5000,5,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Acute Rehabilitation Hospital of Plano,https://www.linkedin.com/company/acute-rehabilitation-hospital-of-plano,acuterehabplano.com,Hospitals and Health Care,Privately Held,201-500,41,-,Plano,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Autograph Care Group,https://www.linkedin.com/company/autograph-care-group-ltd,autograph.care,Hospitals and Health Care,Privately Held,201-500,23,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
HFMA New Mexico,https://www.linkedin.com/company/hfma-new-mexico,nmhfma.org,Hospitals and Health Care,Nonprofit,201-500,-,-,Albuquerque,New Mexico,US,Sensor Bio - Clinical & Health Systems,Blitz API
Clinicare,https://www.linkedin.com/company/clinicare,clinicarecorp.com,Hospitals and Health Care,-,201-500,212,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Premier Physicians,https://www.linkedin.com/company/premier-physicians-centers,premierphysicians.net,Hospitals and Health Care,Privately Held,201-500,211,1994,Westlake,Ohio,US,Sensor Bio - Clinical & Health Systems,Blitz API
Central Valley Medical Center,https://www.linkedin.com/company/central-valley-medical-center-nephi-ut,centralvalleymedicalcenter.com,Hospitals and Health Care,Nonprofit,201-500,160,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Shenandoah Valley Westminster-Canterbury,https://www.linkedin.com/company/shenandoahvalleywestminstercanterbury,svwc.org,Hospitals and Health Care,Nonprofit,201-500,77,1987,Winchester,Virginia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Arise Cares,https://www.linkedin.com/company/arise-home-health-care,arisecares.com,Hospitals and Health Care,Public Company,201-500,29,2000,St Cloud,Minnesota,US,Sensor Bio - Clinical & Health Systems,Blitz API
Unc Health Blue Ridge Human Resources,https://www.linkedin.com/company/unc-health-blue-ridge-human-resources,unchealthblueridge.org,Hospitals and Health Care,Nonprofit,1001-5000,1,-,Morganton,North Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
Florida Medical Center,https://www.linkedin.com/company/florida-medical-center,orlandohealth.com,Hospitals and Health Care,-,201-500,220,-,Brooksville,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Tbilisi State Medical University,https://www.linkedin.com/company/tbilisi-state-medical-university,tsmu.edu,Hospitals and Health Care,-,201-500,190,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
MedWise Urgent Care,https://www.linkedin.com/company/medwise-uc,medwiseuc.com,Hospitals and Health Care,Privately Held,201-500,74,2020,Tulsa,Oklahoma,US,Sensor Bio - Clinical & Health Systems,Blitz API
Garden Healthcare,https://www.linkedin.com/company/garden-healthcare,gardenhc.com,Hospitals and Health Care,Public Company,501-1000,68,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Mary Ann Morse Healthcare Corp.,https://www.linkedin.com/company/mary-ann-morse-healthcare-corp.,maryannmorse.org,Hospitals and Health Care,Nonprofit,201-500,64,1995,Framingham,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
Deutsche Gesellschaft für Kinder- und Jugendchirurgie,https://www.linkedin.com/company/deutsche-gesellschaft-f%c3%bcr-kinderchirurgie,dgkjch.de,Hospitals and Health Care,Educational Institution,501-1000,-,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Northwest Community Hospital,https://www.linkedin.com/company/northwest-community-hospital,nch.org,Hospitals and Health Care,-,201-500,198,-,Schaumburg,Illinois,US,Sensor Bio - Clinical & Health Systems,Blitz API
Ide Management Group,https://www.linkedin.com/company/ide-management-group,imgcares.com,Hospitals and Health Care,Privately Held,1001-5000,44,1997,Greenfield,Indiana,US,Sensor Bio - Clinical & Health Systems,Blitz API
East Houston Hospital & Clinics,https://www.linkedin.com/company/east-houston-hospital-clinics,ehhc.care,Hospitals and Health Care,Privately Held,201-500,26,-,Houston,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Sage Family of Companies,https://www.linkedin.com/company/sagefamilyofcompanies,sagefoc.com,Hospitals and Health Care,Privately Held,501-1000,15,2018,Scottsdale,Arizona,US,Sensor Bio - Clinical & Health Systems,Blitz API
"MEDICAL CENTER AT BOWLING GREEN,THE",https://www.linkedin.com/company/medical-center-at-bowling-green-the,themedicalcenter.org,Hospitals and Health Care,-,1001-5000,341,-,Bowling Green,Kentucky,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Team Nurse, Inc",https://www.linkedin.com/company/team-nurse-inc,teamnurse.com,Hospitals and Health Care,Privately Held,1001-5000,208,2000,South Boston,Virginia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Lions Gate CCRC,https://www.linkedin.com/company/lions-gate-ccrc,lionsgateccrc.org,Hospitals and Health Care,Nonprofit,201-500,88,-,Voorhees,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
RUMAH SAKIT MELATI TANGERANG,https://www.linkedin.com/company/rumah-sakit-melati-tangerang,rsmelati.co.id,Hospitals and Health Care,Public Company,201-500,88,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Senior Living Hiring,https://www.linkedin.com/company/senior-living-hiring,seniorlivinghiring.com,Hospitals and Health Care,Partnership,1001-5000,2,2020,Hickory,North Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
Kennestone Hospital Inc,https://www.linkedin.com/company/kennestone-hospital-inc,wellstar.org,Hospitals and Health Care,-,201-500,147,-,Smyrna,Georgia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Elevate ENT Partners,https://www.linkedin.com/company/elevateent,elevateent.com,Hospitals and Health Care,Privately Held,1001-5000,160,2019,Miami Lakes,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Bloodworks Northwest,https://www.linkedin.com/company/bloodworksnw,bloodworksnw.org,Hospitals and Health Care,Nonprofit,501-1000,888,1944,Seattle,Washington,US,Sensor Bio - Clinical & Health Systems,Blitz API
Mary Bridge Children's Hospital,https://www.linkedin.com/company/mary-bridge-childrens-hospital,marybridge.org,Hospitals and Health Care,Nonprofit,201-500,556,-,Tacoma,Washington,US,Sensor Bio - Clinical & Health Systems,Blitz API
Moses/Weitzman Health System,https://www.linkedin.com/company/moses-weitzman,mwhs1.com,Hospitals and Health Care,Nonprofit,201-500,102,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Gen4 Dental Partners,https://www.linkedin.com/company/gen4dental,gen4dental.com,Hospitals and Health Care,Privately Held,1001-5000,191,2021,Tempe,Arizona,US,Sensor Bio - Clinical & Health Systems,Blitz API
Mount Sinai Department of Medicine,https://www.linkedin.com/company/mount-sinai-department-of-medicine,mssm.edu,Hospitals and Health Care,Nonprofit,1001-5000,10,-,New York City,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
CHA Hollywood Presbyterian Medical Center,https://www.linkedin.com/company/cha-hollywood-presbyterian-medical-center,hollywoodpresbyterian.com,Hospitals and Health Care,Privately Held,1001-5000,774,1924,Los Angeles,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Hillsboro Medical Center,https://www.linkedin.com/company/hillsboromedctr,tuality.org,Hospitals and Health Care,Nonprofit,1001-5000,491,1918,Hillsboro,Oregon,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine",https://www.linkedin.com/company/stanford-psychiatry-&-behavioral-sciences,stanford.edu,Hospitals and Health Care,Educational Institution,1001-5000,199,-,Palo Alto,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Equitas Health,https://www.linkedin.com/company/equitas-health,equitashealth.com,Hospitals and Health Care,Nonprofit,501-1000,418,1984,Columbus,Ohio,US,Sensor Bio - Clinical & Health Systems,Blitz API
Bickford Senior Living,https://www.linkedin.com/company/bickford-senior-living,bickfordseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,1080,1991,Olathe,Kansas,US,Sensor Bio - Clinical & Health Systems,Blitz API
UF Health Cancer Institute,https://www.linkedin.com/company/uf-health-cancer,ufl.edu,Hospitals and Health Care,Educational Institution,501-1000,184,2006,Gainesville,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Planned Parenthood of the Pacific Southwest,https://www.linkedin.com/company/planned-parenthood-of-the-pacific-southwest,pppswcareers.org,Hospitals and Health Care,Nonprofit,501-1000,519,1963,San Diego,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Lifelink Healthtech LLC,https://www.linkedin.com/company/lifelinkhealthtech,lifelinkhealthtech.com,Hospitals and Health Care,Privately Held,201-500,35,2020,Austin,Texas,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Mount Sinai Queens,https://www.linkedin.com/company/mount-sinai-queens,mshq.org,Hospitals and Health Care,Nonprofit,1001-5000,707,1892,New York,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Benefis Health System,https://www.linkedin.com/company/benefis-health-system,benefis.org,Hospitals and Health Care,Nonprofit,1001-5000,1579,-,Great Falls,Montana,US,Sensor Bio - Clinical & Health Systems,Blitz API
WellStreet Urgent Care,https://www.linkedin.com/company/wellstreet-urgent-care,wellstreet.com,Hospitals and Health Care,Privately Held,1001-5000,339,2011,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Inovaare Corporation,https://www.linkedin.com/company/inovaare-corporation,inovaare.com,Hospitals and Health Care,Privately Held,201-500,277,2006,Milpitas,California,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Saint Vincent Hospital,https://www.linkedin.com/company/saint-vincent-hospital,stvincenthospital.com,Hospitals and Health Care,Nonprofit,1001-5000,1205,-,Worcester,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
Florida Hospital Tampa,https://www.linkedin.com/company/florida-hospital-tampa,fhtampa.org,Hospitals and Health Care,Nonprofit,1001-5000,751,1968,Tampa,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Center for Social Dynamics,https://www.linkedin.com/company/center-for-social-dynamics,csdautismservices.com,Hospitals and Health Care,Privately Held,1001-5000,1143,2012,Alameda,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Community Hospice & Palliative Care,https://www.linkedin.com/company/community-hospice-&-palliative-care,communityhospice.com,Hospitals and Health Care,Nonprofit,501-1000,688,1979,Jacksonville,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
UMass Memorial HealthAlliance-Clinton Hospital,https://www.linkedin.com/company/umass-memorial-health-healthalliance-clinton-hospital,ummhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,510,-,Leominster,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
Saint Mary's Hospital,https://www.linkedin.com/company/saintmarysct,stmh.org,Hospitals and Health Care,Nonprofit,1001-5000,1142,1909,Waterbury,Connecticut,US,Sensor Bio - Clinical & Health Systems,Blitz API
Zimmet Healthcare Services Group,https://www.linkedin.com/company/zimmet-healthcare-services-group,zhealthcare.com,Hospitals and Health Care,Partnership,201-500,63,1993,Manalapan,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
