name,domain,website,linkedin_url,industry,employee_range,employees_on_linkedin,hq_city,hq_state,hq_country,source
A. Marshall Hospitality,amarshallhospitality.com,https://amarshallhospitality.com,https://www.linkedin.com/company/a-marshall-hospitality,Restaurants,501-1000,44,Franklin,Tennessee,United States,blitz
A.C. Moore,acmoore.com,https://www.acmoore.com,https://www.linkedin.com/company/a-c--moore,Retail,5001-10000,732,Berlin,New Jersey,United States,aiark+blitz
a.k.a. Brands,aka-brands.com,http://www.aka-brands.com,https://www.linkedin.com/company/akabrands,retail,,1708,West Hollywood,California,United States,aiark
"ABARTA Coca-Cola Beverages, LLC",abartacocacola.com,http://www.abartacocacola.com,https://www.linkedin.com/company/abartacocacola,manufacturing,,536,Pittsburgh,Pennsylvania,United States,aiark
Abby's Legendary Pizza,abbys.com,https://www.abbys.com,https://www.linkedin.com/company/abby's-legendary-pizza,Restaurants,501-1000,296,Roseburg,Oregon,United States,blitz
abc,abc.com,http://www.abc.com,https://www.linkedin.com/company/wicked-fashions-inc-southpole-bangladesh,retail apparel and fashion,,8550,,,United States,aiark
ABC Fine Wine & Spirits,abcfws.com,http://www.abcfws.com,https://www.linkedin.com/company/abc-fine-wine-&-spirits,beverage manufacturing,,794,Orlando,Florida,United States,aiark
ABC Warehouse,abcwarehouse.com,http://www.abcwarehouse.com,https://www.linkedin.com/company/abc-warehouse,retail,,508,Pontiac,Michigan,United States,aiark
Abt,abt.com,http://www.abt.com,https://www.linkedin.com/company/abt-electronics,retail,,898,Glenview,Illinois,United States,aiark
Academy Sports + Outdoors,academy.com,http://www.academy.com,https://www.linkedin.com/company/academy-sports-and-outdoors,retail,,14546,Katy,Texas,United States,aiark
Accent Food Services,itsinreach.com,https://www.itsinreach.com,https://www.linkedin.com/company/accent-food-services,Food and Beverage Services,501-1000,92,Pflugerville,Texas,United States,blitz
AcceptanceNow,acceptancenow.com,http://www.acceptancenow.com/RAC-Acceptance-Home.html,https://www.linkedin.com/company/acceptance-now,financial services,,1178,,,United States,aiark
Access Hotels And Resorts,accesshospitality.com,https://www.accesshospitality.com,https://www.linkedin.com/company/access-hotels-and-resorts,Hospitality,501-1000,16,Celebration,Florida,United States,blitz
Ace Hardware Corporation,acehardware.com,https://www.acehardware.com,https://www.linkedin.com/company/acehardwarecorp,Retail,10001+,19459,Oak Brook,Illinois,United States,aiark+blitz
