company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
PIMCO,pimco.com,pimco,"Newport Beach, California","#1,001-5,000#",Investment Management
Advent,adventinternational.com,advent-international,"Boston, Massachusetts","#501-1,000#",Investment Management
Oaktree Capital Management,oaktreecapital.com,oaktree-capital-management,"Los Angeles, CA","#1,001-5,000#",Investment Management
Moelis & Company,moelis.com,moelis-&-company,"New York, NY","#1,001-5,000#",Investment Banking
Wellington Management,wellington.com,wellington-management,"Boston, Massachusetts","#1,001-5,000#",Investment Management
Evercore,evercore.com,evercore-inc,"New York, NY","#1,001-5,000#",Investment Banking
Bridgewater Associates,bridgewater.com,bridgewater-associates,"Westport, Connecticut","#1,001-5,000#",Investment Management
