name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
The Middleby Corporation,middleby.com,https://www.linkedin.com/company/middleby-corporation,Machinery Manufacturing,Public Company,5001-10000,34097,1888,Elgin,Illinois,United States,https://www.middleby.com
"Kobelco Construction Machinery Usa, Inc",kobelco-usa.com,https://www.linkedin.com/company/kobelco-construction-machinery-usa-inc-,Machinery Manufacturing,Public Company,5001-10000,33875,,Katy,Texas,United States,https://kobelco-usa.com/excavators
Empire Cat,empirecat.com,https://www.linkedin.com/company/empire-southwest,Machinery Manufacturing,Privately Held,1001-5000,33868,1950,Mesa,Arizona,United States,https://www.empirecat.com
Hengstler,hengstler.com,https://www.linkedin.com/company/hengstler,Automation Machinery Manufacturing,Public Company,501-1000,33778,,Aldingen,,Germany,https://www.hengstler.com
BLM GROUP,blmgroup.com,https://www.linkedin.com/company/blmgroup,Machinery Manufacturing,Privately Held,1001-5000,33488,1960,Cantù,Colorado,United States,https://www.blmgroup.com
Beck & Pollitzer,beck-pollitzer.com,https://www.linkedin.com/company/beck-&-pollitzer-engineering-ltd,Industrial Machinery Manufacturing,Privately Held,1001-5000,33405,,London,,United Kingdom,https://beck-pollitzer.com
WireCo,wireco.com,https://www.linkedin.com/company/wireco,Industrial Machinery Manufacturing,Privately Held,1001-5000,33007,,Leawood,Kansas,United States,https://www.wireco.com
Horse Powertrain,horse-powertrain.com,https://www.linkedin.com/company/horse-powertrain,Engines and Power Transmission Equipment Manufacturing,Privately Held,10001+,32667,2024,London,,United Kingdom,https://horse-powertrain.com
OCME,ocme.com,https://www.linkedin.com/company/ocme,Machinery Manufacturing,Privately Held,501-1000,32820,1954,Parma,,United States,https://www.ocme.com
Miele Professional,miele.com,https://www.linkedin.com/company/miele-professional,Machinery Manufacturing,Privately Held,10001+,32275,1899,Gutersloh,North Rhine-Westphalia,Germany,https://www.miele.com/en/com/index-pro.htm
Vega Level And Pressure,vega.com,https://www.linkedin.com/company/vega-level-and-pressure,Industrial Automation,Privately Held,1001-5000,32230,1959,Schiltach,,Germany,https://www.vega.com
Fortifi Food Processing Solutions,fortififoodsolutions.com,https://www.linkedin.com/company/fortififoodsolutions,Automation Machinery Manufacturing,Privately Held,1001-5000,32342,2024,The Woodlands,Texas,United States,https://fortififoodsolutions.com
Lakeside Process Controls,lakesidecontrols.com,https://www.linkedin.com/company/lakesidecontrols,Industrial Machinery Manufacturing,Privately Held,501-1000,32024,1952,Mississauga,Ontario,Canada,https://www.lakesidecontrols.com
