company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
Pavement Preservation Group,pavementpreservationgroup.com,,"Phoenix, AZ","#501-1,000#",
United Cerebral Palsy of Central Arizona,ucpofcentralaz.org,,"Phoenix, AZ","#501-1,000#",
"Servbank, sb Inc.",servbank.com,,"Phoenix, AZ","#1,001-5,000#",
Mayo Clinic,mayoclinic.org,,"Phoenix, AZ","#10,000+#",
Supplemental Health Care,supplementalhealthcare.com,,"Granite Falls, WA","#501-1,000#",
Washington St Soldiers,dva.wa.gov,,"Orting, WA",#51-200#,
Overlake,overlake.org,,"Bellevue, WA","#1,001-5,000#",
Swedish,swedish.org,,"Edmonds, WA","#5,001-10,000#",
"Ronan HR Solutions, Inc.",ronanhrsolutions.com,,"Bremerton, WA",#51-200#,
FOX Rehabilitation,foxrehab.org,,"Olympia, WA","#5,001-10,000#",
Rehab Without Walls Neuro Rehabilitation,rehabwithoutwalls.com,,"Bellingham, WA","#1,001-5,000#",
Sequel Employment Center,sequelcareofarizona.com,,"Prescott, AZ","#1,001-5,000#",
Aztec,aztec1.org,,"Peoria, AZ",#201-500#,
Brightmont Academy,brightmontacademy.com,,"Phoenix, AZ",#201-500#,
Laveen Elementary School District,laveeneld.org,,"Laveen Village, AZ","#501-1,000#",
Litchfield Elementary School District #79,lesd79.org,,"Litchfield Park, AZ","#1,001-5,000#",
"Specialized-Education-Services,-Inc.-3",sesischools.com,,"Mesa, AZ",#501-1000#,
ASU Preparatory Academy,asuprep.asu.edu,,Arizona,#201-500#,
Ombudsman Educational Services,chancelight.com,,"South Tucson, AZ","#1,001-5,000#",
Apache Junction Unified School District,ajusd.org,,"Apache Junction, AZ",#201-500#,
Freedom Academy Inc,freedomacademyaz.org,,"Phoenix, AZ",#11-50#,
Arizona State Government,azed.gov,,"Phoenix, AZ","#10,000+#",
Mesa-Public-Schools---A,mesapublicschools.org,,"Mesa, AZ","#5,001-10,000#",
DLA Piper,dlapiper.com,,"Palo Alto, CA","#5,001-10,000#",
Rock Point Community School,rpcsaz.org,,"Teec Nos Pos, AZ",#51-200#,
"Bibiyan & Bokhour , P.C",tomorrowlaw.com,,"Los Angeles, CA",#11-50#,
West Coast University,westcoastuniversity.edu,,"Irvine, CA","#1,001-5,000#",
Race Communications,race.com,,Anywhere,#51-200#,
Patelco Credit Union,patelco.org,,"Dublin, CA","#501-1,000#",
California State Polytechnic University-Pomona,cpp.edu,,"Pomona, CA","#1,001-5,000#",
Lionsgate,lionsgate.com,,"Santa Monica, CA","#1,001-5,000#",
The Treetop ABA,treetopaba.com,,"Glendale, AZ","#1,001-5,000#",
Union Elementary School District,unionesd.org,,"Tolleson, AZ","#1,001-5,000#",
Soar Autism Center,soarautismcenter.com,,"Phoenix, AZ","#501-1,000#",
Humboldt Unified School District,humboldtunified.com,,"Prescott Valley, AZ","#501-1,000#",
S.E.E.K. Arizona,seekarizona.org,,"Sacate, AZ",#51-200#,
Lauren's Institute for Education,laurensinstitute.org,,"Gilbert, AZ","#501-1,000#",
Greenlight ABA,greenlightaba.com,,"Casa Grande, AZ",#11-50#,
Action Behavior Centers,actionbehavior.com,,"Litchfield Park, AZ","#1,001-5,000#",
Mesa Public Schools,mpsaz.org,,"Mesa, AZ","#5,001-10,000#",
Isaac School District #5,isaacschools.org,,"Phoenix, AZ","#501-1,000#",
Oracle School District,osd2.org,,"Oracle, AZ",#51-200#,
Nogales USD,nusd.k12.az.us,,"Nogales, AZ","#501-1,000#",
Tempe Elementary School District,tempeschools.org,,"Tempe, AZ","#1,001-5,000#",
"Arizona Autism Charter Schools, Inc",autismcharter.org,,"Mesa, AZ","#501-1,000#",
ASU Preparatory Academy,asuprep.org,,"Phoenix, AZ","#1,001-5,000#",
American Leadership Academy,alaschools.org,,"Phoenix, AZ","#501-1,000#",
Kayenta Unified School District No. 27,kayenta.k12.az.us,,"Kayenta, AZ",#201-500#,
Kingman Unified School District,kusd.org,,"Kingman, AZ","#501-1,000#",
Spindle,spindlellc.com,,"Lancaster, CA",#201-500#,
Welbehealth,welbehealth.com,,California,"#1,001-5,000#",
Rady Children's Hospital-San Diego,radychildrens.org,,"San Diego, CA","#5,001-10,000#",
Kaiser Permanente,kaiserpermanente.org,,"Riverside, CA","#10,000+#",
