name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Cardone Industries,cardone.com,https://www.linkedin.com/company/cardone-industries,Motor Vehicle Manufacturing,Privately Held,5001-10000,18564,1970,Philadelphia,Pennsylvania,United States,https://www.cardone.com
Maxxis International,maxxis.com,https://www.linkedin.com/company/maxxis-international,Motor Vehicle Manufacturing,Privately Held,10001+,18484,1967,Suwanee,Georgia,United States,https://www.maxxis.com
Auria,auriasolutions.com,https://www.linkedin.com/company/auriasolutions,Motor Vehicle Manufacturing,Privately Held,1001-5000,18441,2017,Southfield,Michigan,United States,https://www.auriasolutions.com
Camaco,camacollc.com,https://www.linkedin.com/company/camaco-amvian,Motor Vehicle Manufacturing,Privately Held,1001-5000,18420,,Farmington Hills,Michigan,United States,https://www.camacollc.com
Motus Integrated Technologies,motusintegrated.com,https://www.linkedin.com/company/motus-integrated-technologies,Motor Vehicle Manufacturing,Privately Held,1001-5000,18357,,Holland,Michigan,United States,https://www.motusintegrated.com
Humanetics,humaneticsgroup.com,https://www.linkedin.com/company/humaneticsgroup,Automotive,Privately Held,1001-5000,18141,1952,Farmington Hills,Michigan,United States,https://www.humaneticsgroup.com
US Farathane,usfarathane.com,https://www.linkedin.com/company/us-farathane,Motor Vehicle Manufacturing,Privately Held,1001-5000,18095,,Auburn Hills,Michigan,United States,https://www.usfarathane.com
Omega Holdings,omega-usa.com,https://www.linkedin.com/company/omegaholdings,Motor Vehicle Manufacturing,Privately Held,501-1000,18057,2012,Irving,Texas,United States,https://www.omega-usa.com
"Isuzu Commercial Truck Of America, Inc",isuzucv.com,https://www.linkedin.com/company/isuzutrucks,Motor Vehicle Manufacturing,Public Company,501-1000,17823,1984,Anaheim,California,United States,https://www.isuzucv.com
"Forest River, Inc",forestriverinc.com,https://www.linkedin.com/company/forest-river-inc.,Motor Vehicle Manufacturing,Privately Held,10001+,17731,,Elkhart,Indiana,United States,https://forestriverinc.com
Plasman,plasman.com,https://www.linkedin.com/company/plasmanodf,Automotive,Privately Held,1001-5000,17665,1978,Oldcastle,Ontario,Canada,https://plasman.com
JAC Products,jacproducts.com,https://www.linkedin.com/company/jac-products,Motor Vehicle Manufacturing,Privately Held,1001-5000,17399,1967,Pontiac,Michigan,United States,https://www.jacproducts.com
"McNeilus Truck and Manufacturing, Inc.",mcneiluscompanies.com,https://www.linkedin.com/company/mcneilus-truck-and-manufacturing-inc-,Motor Vehicle Manufacturing,Public Company,1001-5000,17383,1970,Dodge Center,Minnesota,United States,https://www.mcneiluscompanies.com
VinFast Canada,vinfastauto.ca,https://www.linkedin.com/company/vinfast-auto-canada-inc,Motor Vehicle Manufacturing,Public Company,10001+,17257,2021,Markham,Ontario,Canada,https://vinfastauto.ca
Demand Detroit,demanddetroit.com,https://www.linkedin.com/company/detroit-diesel,Motor Vehicle Manufacturing,Public Company,1001-5000,17233,1937,Detroit,Michigan,United States,https://www.demanddetroit.com
Go Auto,goauto.ca,https://www.linkedin.com/company/go-auto,Motor Vehicle Manufacturing,Privately Held,5001-10000,17219,,Edmonton,Alberta,Canada,https://www.goauto.ca
MOBIS North America,mobisna.com,https://www.linkedin.com/company/mobis-north-america,Motor Vehicle Manufacturing,Public Company,5001-10000,17190,1977,Plymouth,Michigan,United States,https://mobisna.com
Neapco,neapco.com,https://www.linkedin.com/company/neapco,Motor Vehicle Manufacturing,Privately Held,1001-5000,17186,,Farmington Hills,Michigan,United States,https://www.neapco.com
Dent Wizard International,dentwizard.com,https://www.linkedin.com/company/dent-wizard-international,Automotive,Privately Held,1001-5000,17112,1983,Bridgeton,Missouri,United States,https://www.dentwizard.com
The Shyft Group,theshyftgroup.com,https://www.linkedin.com/company/theshyftgroup,Motor Vehicle Manufacturing,Public Company,1001-5000,16534,,Novi,Michigan,United States,https://www.theshyftgroup.com
Superior Industries,supind.com,https://www.linkedin.com/company/superior-industries,Motor Vehicle Manufacturing,Privately Held,1001-5000,16384,1957,Southfield,Michigan,United States,https://www.supind.com
Subaru of Indiana Automotive,subaru-sia.com,https://www.linkedin.com/company/subaru-of-indiana-automotive,Motor Vehicle Manufacturing,Privately Held,5001-10000,16307,1987,Lafayette,Indiana,United States,https://www.subaru-sia.com
Buick,buick.com,https://www.linkedin.com/company/buick,Automotive,Public Company,10001+,16256,1903,Detroit,Michigan,United States,https://www.buick.com
Kumho Tire USA,kumhotireusa.com,https://www.linkedin.com/company/kumhotireusa,Motor Vehicle Manufacturing,Public Company,10001+,15987,1960,Atlanta,Georgia,United States,https://www.kumhotireusa.com/us/index.do
"Ryobi Die Casting, Inc.",ryobidiecasting.com,https://www.linkedin.com/company/ryobidiecasting,Motor Vehicle Manufacturing,Privately Held,501-1000,15897,1985,Shelbyville,Indiana,United States,https://www.ryobidiecasting.com
Bosch Automotive Na,boschautomotiveservicesolutions.com,https://www.linkedin.com/company/bosch-automotive-na,Motor Vehicle Manufacturing,Privately Held,1001-5000,15813,,Plymouth,Michigan,United States,https://www.boschautomotiveservicesolutions.com
The Parts Authority,partsauthority.com,https://www.linkedin.com/company/partsauthority,Motor Vehicle Parts Manufacturing,Privately Held,5001-10000,15552,1973,Lake Success,New York,United States,https://www.partsauthority.com
"Vehicle Service Group, A Dover Company",vsgdover.com,https://www.linkedin.com/company/vsg-a-dover-company,Motor Vehicle Manufacturing,Public Company,1001-5000,15226,,Downers Grove,Illinois,United States,https://www.vsgdover.com
Knapheide,knapheide.com,https://www.linkedin.com/company/knapheide-manufacturing,Motor Vehicle Manufacturing,Privately Held,1001-5000,15194,1848,Quincy,Illinois,United States,https://www.knapheide.com
CFMOTO USA,cfmotousa.com,https://www.linkedin.com/company/cfmoto-usa,Motor Vehicle Manufacturing,Privately Held,1001-5000,15136,2007,Plymouth,Minnesota,United States,https://www.cfmotousa.com
Summit Polymers,summitpolymers.com,https://www.linkedin.com/company/summit-polymers,Motor Vehicle Manufacturing,Privately Held,1001-5000,14886,1972,Portage,Michigan,United States,https://www.summitpolymers.com
Horizon Global,horizonglobal.com,https://www.linkedin.com/company/horizon-global,Motor Vehicle Manufacturing,Public Company,1001-5000,14632,2015,Plymouth,Michigan,United States,https://www.horizonglobal.com
Gulf States Toyota,gstcareers.com,https://www.linkedin.com/company/gulf-states-toyota,Automotive,Privately Held,501-1000,14624,1969,Houston,Texas,United States,https://www.gstcareers.com
HFI,hfi-inc.com,https://www.linkedin.com/company/hfi-inc,Motor Vehicle Manufacturing,Privately Held,1001-5000,14567,,Canal Winchester,Ohio,United States,https://www.hfi-inc.com
Performance Auto Group,performance.ca,https://www.linkedin.com/company/autoplanet-automotive-group-inc-,Motor Vehicle Manufacturing,Privately Held,1001-5000,14437,1964,Brampton,Ontario,Canada,https://www.performance.ca
Trico Products,tricoproducts.com,https://www.linkedin.com/company/trico-products,Motor Vehicle Manufacturing,Privately Held,1001-5000,13931,1917,Rochester Hills,Michigan,United States,https://tricoproducts.com
Fiem Industries Ltd.,fiemindustries.com,https://www.linkedin.com/company/fiem-industries-ltd-,Motor Vehicle Manufacturing,Public Company,5001-10000,13729,1952,New Delhi,Delhi,United States,https://fiemindustries.com
Pridgeon & Clay,pridgeonandclay.com,https://www.linkedin.com/company/pridgeon-and-clay,Motor Vehicle Parts Manufacturing,Privately Held,1001-5000,13624,1948,Grand Rapids,Michigan,United States,https://www.pridgeonandclay.com/index.html
Fca Fleet,chrysler.com,https://www.linkedin.com/company/fca-fleet,Motor Vehicle Manufacturing,Public Company,10001+,13467,2009,Auburn Hills,Michigan,United States,https://www.fleet.chrysler.com
The NARMCO Group,narmco.com,https://www.linkedin.com/company/the-narmco-group,Motor Vehicle Manufacturing,Privately Held,501-1000,13297,1945,Windsor,Ontario,Canada,https://www.narmco.com
Grand Design RV,granddesignrv.com,https://www.linkedin.com/company/grand-design-rv-llc,Motor Vehicle Manufacturing,Public Company,501-1000,13281,2012,Middlebury,Indiana,United States,https://www.granddesignrv.com
Wheel Pros,wheelpros.com,https://www.linkedin.com/company/wheel-pros,Motor Vehicle Manufacturing,Privately Held,1001-5000,13193,1995,Greenwood Village,Colorado,United States,https://www.wheelpros.com
NIU Technologies,niu.com,https://www.linkedin.com/company/niu-technologies,Automotive,Public Company,501-1000,13066,2014,,New York,United States,https://www.niu.com/en
Edelbrock Performance,edelbrock.com,https://www.linkedin.com/company/edelbrock,Motor Vehicle Manufacturing,Privately Held,501-1000,13042,1938,Olive Branch,Mississippi,United States,https://www.edelbrock.com
Service King Collision,serviceking.com,https://www.linkedin.com/company/service-king,Motor Vehicle Manufacturing,Privately Held,5001-10000,13006,,Richardson,Texas,United States,https://www.serviceking.com
"Hyundai Motor Manufacturing Alabama, Llc",hmmausa.com,https://www.linkedin.com/company/hyundai-motor-manufacturing-alabama-llc,Motor Vehicle Manufacturing,Privately Held,1001-5000,12868,2002,Montgomery,Alabama,United States,https://www.hmmausa.com
WeatherTech®,weathertech.com,https://www.linkedin.com/company/weathertech,Motor Vehicle Manufacturing,Privately Held,1001-5000,12615,1989,Bolingbrook,Illinois,United States,https://www.weathertech.com
Morgan Auto Group,morganautogroup.com,https://www.linkedin.com/company/morgan-auto-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,12531,2005,Tampa,Florida,United States,https://www.morganautogroup.com
Acument Global Technologies - North America,fontanagruppoagtna.com,https://www.linkedin.com/company/acument-global-technologies-northamerica,Motor Vehicle Manufacturing,Privately Held,1001-5000,12492,,Sterling Heights,Michigan,United States,https://www.fontanagruppoagtna.com
"Carlex Glass America, LLC",carlex.com,https://www.linkedin.com/company/carlex,Motor Vehicle Manufacturing,Privately Held,1001-5000,12445,1989,Nashville,Tennessee,United States,https://www.carlex.com
Key Safety Systems,keysafetyinc.com,https://www.linkedin.com/company/key-safety-systems,Automotive,Privately Held,10001+,12443,2003,Sterling Heights,Michigan,United States,https://www.keysafetyinc.com
Jiffy Lube,jiffylube.com,https://www.linkedin.com/company/jiffy-lube-international,Motor Vehicle Manufacturing,Privately Held,1001-5000,12172,1979,Houston,Texas,United States,https://jiffylube.com
NYX Inc.,nyxinc.com,https://www.linkedin.com/company/nyx-inc.,Motor Vehicle Manufacturing,Privately Held,501-1000,12110,,Livonia,Michigan,United States,https://www.nyxinc.com
Reading Truck,readingtruck.com,https://www.linkedin.com/company/readingtruck,Motor Vehicle Manufacturing,Privately Held,1001-5000,12112,1955,Reading,Pennsylvania,United States,https://www.readingtruck.com
"UGN, Inc.",ugn.com,https://www.linkedin.com/company/ugn,Motor Vehicle Manufacturing,Privately Held,1001-5000,12079,1986,Downers Grove,Illinois,United States,https://ugn.com
WAI Global,waiglobal.com,https://www.linkedin.com/company/waiglobal,Motor Vehicle Parts Manufacturing,Privately Held,501-1000,11997,,Miramar,Florida,United States,https://www.waiglobal.com
Gill Industries,gill-industries.com,https://www.linkedin.com/company/gill-industries,Motor Vehicle Manufacturing,Privately Held,1001-5000,11921,,Grand Rapids,Michigan,United States,https://www.gill-industries.com
Power Solutions International,psiengines.com,https://www.linkedin.com/company/power-solutions-international,Motor Vehicle Manufacturing,Public Company,501-1000,11876,1985,Wood Dale,Illinois,United States,https://www.psiengines.com
ITW Automotive,itwautomotive.com,https://www.linkedin.com/company/itw-automotive,Motor Vehicle Manufacturing,Public Company,10001+,11823,1912,Glenview,Illinois,United States,https://www.itwautomotive.com
Pangea Made,pangeamade.com,https://www.linkedin.com/company/pangea-made,Motor Vehicle Parts Manufacturing,Privately Held,1001-5000,11594,,Rochester,Michigan,United States,https://www.pangeamade.com
"Turn 14 Distribution, Inc.",turn14.com,https://www.linkedin.com/company/turn-14-distribution-inc-,Motor Vehicle Manufacturing,Privately Held,501-1000,11559,2007,Horsham,Pennsylvania,United States,https://turn14.com
Thomas Built Buses,thomasbuiltbuses.com,https://www.linkedin.com/company/thomas-built-buses,Motor Vehicle Manufacturing,Public Company,1001-5000,11527,1916,High Point,North Carolina,United States,https://thomasbuiltbuses.com
Firestone Airide,firestoneairide.com,https://www.linkedin.com/company/firestoneairide,Motor Vehicle Parts Manufacturing,Privately Held,1001-5000,11486,1900,Nashville,Tennessee,United States,https://www.firestoneairide.com
Grote Industries,grote.com,https://www.linkedin.com/company/grote-industries-llc,Automotive,Privately Held,1001-5000,11384,1901,Madison,Indiana,United States,https://grote.com
"Sanden International, USA, Inc.",sanden.com,https://www.linkedin.com/company/sanden-international,Motor Vehicle Manufacturing,Public Company,501-1000,11493,1974,Wylie,Texas,United States,https://www.sanden.com
Auto Plus Auto Parts,autoplusap.com,https://www.linkedin.com/company/auto-plus-auto-parts,Motor Vehicle Manufacturing,Privately Held,1001-5000,11218,,Kennesaw,Georgia,United States,https://www.autoplusap.com
Car-O-Liner,car-o-liner.com,https://www.linkedin.com/company/car-o-liner-official,Automotive,Privately Held,1001-5000,10909,1973,Wixom,Michigan,United States,https://www.car-o-liner.com
"TRAM, Inc.",tramgroup.com,https://www.linkedin.com/company/tram-inc-,Motor Vehicle Manufacturing,Public Company,1001-5000,10811,1986,Plymouth,Michigan,United States,https://www.tramgroup.com
Take 5 Oil Change,take5.com,https://www.linkedin.com/company/take-5-oil-change,Motor Vehicle Manufacturing,Public Company,1001-5000,10798,,Charlotte,,United States,https://www.take5.com/oil-change
Stanadyne,stanadyne.com,https://www.linkedin.com/company/stanadyne,Motor Vehicle Manufacturing,Privately Held,1001-5000,10683,,Jacksonville,North Carolina,United States,https://www.stanadyne.com
"BILSTEIN of America, Inc.",bilstein.com,https://www.linkedin.com/company/bilsteinofamerica,Motor Vehicle Manufacturing,Public Company,501-1000,10610,,Hamilton,Ohio,United States,https://www.bilstein.com
