name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Hertz Car Sales,hertzcarsales.com,https://www.linkedin.com/company/hertzcarsales,Automotive,Public Company,501-1000,2445,1918,Estero,Florida,United States,https://www.hertzcarsales.com
Sloane Automotive Group,sloaneautos.com,https://www.linkedin.com/company/sloane-automotive-group,Automotive,Privately Held,501-1000,2445,1970,Glenside,Pennsylvania,United States,https://www.sloaneautos.com
Boch Automotive,boch.com,https://www.linkedin.com/company/boch-automotive,Motor Vehicle Manufacturing,Privately Held,501-1000,2436,-,Norwood,Massachusetts,United States,-
The Hertrich Family of Automobile Dealerships,hertrichs.com,https://www.linkedin.com/company/hertrichfamilyofautomobiledealerships,Automotive,Privately Held,1001-5000,2430,1963,Milford,Delaware,United States,https://www.hertrichs.com
"Sewell Family Of Companies, Inc",teamsewell.com,https://www.linkedin.com/company/the-sewell-family-of-companies,Motor Vehicle Manufacturing,Privately Held,501-1000,2424,1911,Odessa,Texas,United States,https://teamsewell.com
Monro Auto Service And Tire Centers,monro.com,https://www.linkedin.com/company/monro-auto,Motor Vehicle Manufacturing,Public Company,5001-10000,2424,1957,Rochester,New York,United States,https://www.monro.com
Preston Automotive Group,prestonmotor.com,https://www.linkedin.com/company/preston-automotive-group,Motor Vehicle Manufacturing,Self-Owned,501-1000,2423,1975,Preston,Maryland,United States,https://www.prestonmotor.com
"Pick-N-Pull, A Division Of Schnitzer Steel Industries",picknpull.com,https://www.linkedin.com/company/pick-n-pull,Motor Vehicle Manufacturing,Public Company,1001-5000,2415,1986,Rancho Cordova,California,United States,https://www.picknpull.com
"SHIROKI North America, Inc. an AISIN Group Company",shiroki.co.jp,https://www.linkedin.com/company/shiroki-na,Motor Vehicle Parts Manufacturing,Privately Held,501-1000,2409,1988,Smithville,Tennessee,United States,-
KERN-LIEBERS USA,kern-liebers-north-america.com,https://www.linkedin.com/company/kern-liebers-usa,Motor Vehicle Manufacturing,Privately Held,501-1000,2408,1888,Holland,Ohio,United States,https://www.kern-liebers-north-america.com
Regal Automotive,regallakeland.com,https://www.linkedin.com/company/regal-lakeland,Automotive,Public Company,501-1000,2403,1976,Lakeland,Florida,United States,https://www.regallakeland.com
OREMOR Automotive Group,oremorautomotive.com,https://www.linkedin.com/company/oremor-automotive-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,2401,1970,Ontario,California,United States,https://www.oremorautomotive.com/careers
GSW Manufacturing,gswiring.com,https://www.linkedin.com/company/gswmfg,Motor Vehicle Manufacturing,Privately Held,1001-5000,2400,1989,Findlay,Ohio,United States,https://gswiring.com
American Emergency Vehicles (AEV),aev.com,https://www.linkedin.com/company/american-emergency-vehicles,Motor Vehicle Manufacturing,Public Company,501-1000,2396,1990,Jefferson,North Carolina,United States,https://www.aev.com
"Joysonquin Automotive Systems, North America",joysonquin.com,https://www.linkedin.com/company/joysonquin-automotive-systems-north-america,Motor Vehicle Manufacturing,Privately Held,501-1000,2382,-,Troy,Michigan,United States,https://www.joysonquin.com
Motor State Distributing,motorstate.com,https://www.linkedin.com/company/motor-state-distributing,Motor Vehicle Manufacturing,Privately Held,501-1000,2372,1964,Watervliet,Michigan,United States,https://www.motorstate.com
"Michigan Automotive Compressor, Inc. (MACI)",michauto.com,https://www.linkedin.com/company/denso-michigan-automotive-compressor-inc.,Automotive,Privately Held,501-1000,2369,1989,Parma,Michigan,United States,https://www.michauto.com
Bumper To Bumper Auto Parts,btbautoparts.com,https://www.linkedin.com/company/bumper-to-bumper-auto-parts,Motor Vehicle Manufacturing,Privately Held,1001-5000,2364,1919,Little Rock,Arkansas,United States,https://www.btbautoparts.com
NPW Companies,npwcompanies.com,https://www.linkedin.com/company/national-performance-warehouse,Automotive,Privately Held,501-1000,2351,1969,Miami,Florida,United States,https://www.npwcompanies.com
Trotman Auto Group,trotmanautogroup.com,https://www.linkedin.com/company/trotman-automotive-group,Motor Vehicle Manufacturing,Privately Held,501-1000,2341,1977,Surrey East,British Columbia,Canada,https://www.trotmanautogroup.com
Comp Cams,compcams.com,https://www.linkedin.com/company/comp-cams,Motor Vehicle Manufacturing,Partnership,501-1000,2338,1976,Memphis,Tennessee,United States,https://www.compcams.com
Bahmanmotor,bahmanmotor.ir,https://www.linkedin.com/company/bahmanmotor,Automotive,Public Company,1001-5000,2325,-,Tehran,-,United States,https://www.bahmanmotor.ir
Windsor Mold Inc,windsormoldgroup.com,https://www.linkedin.com/company/windsormold,Automotive,Privately Held,1001-5000,2317,1972,-,-,Canada,https://www.windsormoldgroup.com
Walker Die Casting,walkerdiecasting.com,https://www.linkedin.com/company/walker-die-casting-inc.,Motor Vehicle Manufacturing,Public Company,501-1000,2314,1958,Lewisburg,Tennessee,United States,https://walkerdiecasting.com
