segment,name,domain,linkedin,naics,is_mfg,about,source
Astec-like,Tilcon New York Inc.,tilconny.com,https://www.linkedin.com/company/tilcon-new-york-inc-,"423390,212319,237310,237110",True,"Tilcon New York Inc produces construction materials and provides road construction services in New York and New Jersey.  We operate quarries, asphalt ",AI Ark lookalike + NAICS filter
Astec-like,Breedon Group plc,breedongroup.com,https://www.linkedin.com/company/breedon-group-plc,"423390,327390,237310,212312",True,"We're a leading vertically-integrated international construction materials group in Great Britain, Ireland and the United States.  We supply the const",AI Ark lookalike + NAICS filter
Astec-like,Koch Engineered Solutions,kochengineeredsolutions.com,https://www.linkedin.com/company/koch-engineered-solutions,"334512,333998,332439",True,Koch Engineered Solutions (KES) provides uniquely engineered solutions in construction; mass and heat transfer; combustion and emissions controls; fil,AI Ark lookalike + NAICS filter
Astec-like,Staker Parson Materials & Construction,stakerparson.com,https://www.linkedin.com/company/stakerparson,"324121,423320,327320",True,"Staker Parson Materials & Construction is a leading producer of quality sand, rock, landscape products, ready-mixed concrete, and asphalt serving cust",AI Ark lookalike + NAICS filter
Astec-like,HolcimUS,holcim.us,https://www.linkedin.com/company/holcimus,"237310,551112,327310",True,"Holcim US is now Amrize, building North America as the partner of choice for professional builders with advanced branded solutions from foundation to ",AI Ark lookalike + NAICS filter
Astec-like,Altrad Babcock,altradbabcock.com,https://www.linkedin.com/company/altrad-babcock,"333613,811412,333414,541614",True,"Welcome to the official LinkedIn page of Altrad Babcock! We are a specialist in the delivery of construction, aftermarket and upgrade services to the ",AI Ark lookalike + NAICS filter
Astec-like,Teichert,teichert.com,https://www.linkedin.com/company/teichert,"423390,237310,212321,423320",True,"Founded in 1887, Teichert’s two main operating companies are Teichert Construction and Teichert Materials.    Teichert Construction holds California S",AI Ark lookalike + NAICS filter
Astec-like,"Gencor Industries, Inc.",gencor.com,https://www.linkedin.com/company/gencor-industries-inc.,"333120,334513,332410,423840",True,"Gencor Industries, Inc., is the leading manufacturer of asphalt plants, soil remediation plants, combustion systems and screening equipment for the ro",AI Ark lookalike + NAICS filter
Astec-like,Herc Rentals,hercrentals.com,https://www.linkedin.com/company/hercrentalsinc,"532120,532490,532310",False,"Herc Rentals is a premier, full-service equipment rental company providing customers with the equipment, services, and solutions they need to achieve ",AI Ark lookalike + NAICS filter
Astec-like,Rogers Group Inc.,rogersgroupincint.com,https://www.linkedin.com/company/rogers-group-inc.,"237310,212312,445110",False,"Rogers Group, Inc., headquartered in Nashville, is a privately held aggregates and asphalt highway construction company operating and meeting customer",AI Ark lookalike + NAICS filter
Astec-like,Holcim México,holcim.com.mx,https://www.linkedin.com/company/holcimmexico,"561499,327310,423320",True,Holcim líder mundial en construcción sostenible,AI Ark lookalike + NAICS filter
Astec-like,Amsted Industries,amsted.com,https://www.linkedin.com/company/amsted-industries,"333415,541330",True,"Amsted Industries is a diversified global manufacturer of industrial components serving primarily the railroad, automotive, commercial vehicle, constr",AI Ark lookalike + NAICS filter
Astec-like,Tomlinson Group of Companies,tomlinsongroup.com,https://www.linkedin.com/company/tomlinson-group-of-companies,"333120,423810,541330",True,"Starting with a single-axle dump truck in 1952, R.W. Tomlinson Limited has transformed to become a multidisciplinary company with numerous divisions i",AI Ark lookalike + NAICS filter
Astec-like,"Irving Materials, Inc.",irvmat.com,https://www.linkedin.com/company/imibuilds,"327331,324121,423320,327320",True,"Founded in 1946, imi (Irving Materials, Inc.) is a privately-held building materials supplier, producer, and construction services company with operat",AI Ark lookalike + NAICS filter
Astec-like,Brundage-Bone Concrete Pumping,brundagebone.com,https://www.linkedin.com/company/brundage-bone-,"238110,423390",False,"Brundage-Bone Concrete Pumping (BBCP) is the largest concrete pumping and material placement service in the United States. Since our origin in 1983, o",AI Ark lookalike + NAICS filter
Astec-like,Bouygues Group,bouygues.com,https://www.linkedin.com/company/bouygues,"561499,237310,236220",False,"Founded in 1952 by Francis Bouygues, Bouygues is a diversified services group operating in over 80 countries with 200,000 employees all working to mak",AI Ark lookalike + NAICS filter
Astec-like,Winsupply,winsupplyinc.com,https://www.linkedin.com/company/winsupply,"423390,423720,423710",False,"Founded in 1956, Winsupply is a family of companies that includes more than 680 locally owned wholesalers across the United States, along with service",AI Ark lookalike + NAICS filter
Astec-like,Weiler,weilerproducts.com,https://www.linkedin.com/company/weiler,"324121,532490,423810,333131",True,"Located in Knoxville, Iowa, Weiler manufactures equipment for the paving market. Weiler equipment is based on proven designs that have a successful tr",AI Ark lookalike + NAICS filter
Astec-like,NPL Construction Co.,gonpl.com,https://www.linkedin.com/company/npl-construction-co-,"237310,237110,237120",False,"NPL is a nationally recognized leader in energy infrastructure construction, with 50 years of experience. With 5,000+ highly-trained employees working",AI Ark lookalike + NAICS filter
Astec-like,"Sunbelt Rentals, Inc.",sunbeltrentals.com,https://www.linkedin.com/company/sunbelt-rentals,"532490,532412",False,"At Sunbelt Rentals, we provide the tools, equipment, and support our customers need to build and maintain the world around us.  With locations across ",AI Ark lookalike + NAICS filter
Astec-like,Komatsu North America,komatsu.com,https://www.linkedin.com/company/komatsunorthamerica,-,False,"Komatsu develops and supplies technologies, equipment and services for the construction, mining, forklift, industrial and forestry markets. For more t",AI Ark lookalike + NAICS filter
Astec-like,Atlas Copco Group,atlascopcogroup.com,https://www.linkedin.com/company/atlas-copco-group,"484110,541330,488999",False,"Atlas Copco Group enables technology that transforms the future. We innovate to develop products, services and solutions that are key to our customers",AI Ark lookalike + NAICS filter
Astec-like,White Cap,whitecap.com,https://www.linkedin.com/company/wearewhitecap,"423390,423710,423310,332216",True,"White Cap and its affiliates serve as a one-stop shop, providing concrete accessories and chemicals, tools and equipment, building materials and faste",AI Ark lookalike + NAICS filter
Astec-like,HVAC,hvacqld.com.au,https://www.linkedin.com/company/hvac,"333415,541618",True,"HVAC is a multi-disciplined engineering construction company, specialising in unique and difficult construction. We save clients time and money throu",AI Ark lookalike + NAICS filter
Astec-like,Heijmans,heijmans.nl,https://www.linkedin.com/company/heijmans,"551112,333415",True,"Heijmans is a company with healthy ambition. We want to contribute to creating a healthy living environment. Everyone wants to breathe clean air, live",AI Ark lookalike + NAICS filter
Astec-like,Walbec Group,walbecgroup.com,https://www.linkedin.com/company/walbec-group,"237310,324121,327320",True,"Together Payne and Dolan, Northeast Asphalt, Zenith Tech, Parisi, Premier Concrete, and Construction Resources Management produce high-quality constru",AI Ark lookalike + NAICS filter
Astec-like,Construplan,construplan.com.mx,https://www.linkedin.com/company/construplan,423830,False,"Empresa dedicada a brindar soluciones integrales a través de sus 6 divisiones: PAVIMENTOS Y CARRETERAS -Diseño, trazo y construcción de carreteras. ",AI Ark lookalike + NAICS filter
Astec-like,Cramo Sverige,cramo.se,https://www.linkedin.com/company/cramo-ab,"532490,423810,532412",False,Cramo was founded in year 1953 and is one of Sweden's largest and Europe's second largest companies in the machinery rental industry and rental-relate,AI Ark lookalike + NAICS filter
